,Hydrothermal temperature,Hydrothermal time,Particle size,Solid to liquid ratio,Anaerobic temperature,Anaerobic time,Lignin,Cellulose,Hemicellulose,Cumulative methane production
88,120,30,2,0.403620927,35,60,11.82834085,52.07420998,30.26762832,296
89,160,30,2,0.233986014,35,60,16.86597503,36.54608076,23.34908031,269
90,180,30,2,0.233986014,35,60,16.86597503,36.39445369,23.34908031,268
91,200,30,2,0.233986014,35,60,18.45791292,36.39445369,23.40349815,211
92,40,60,1,0.290566023,35,31,4.1,48.9,35.1,242
93,100,60,1,0.318240293,35,31,4.1,48.9,35.1,282
94,160,60,1,0.340524887,35,31,4.1,48.9,35.1,273
95,40,60,1,0.182867491,35,31,6.5,49.1,34.1,201
96,100,60,1,0.182867491,35,31,6.5,49.1,34.1,199
97,160,60,1,0.312850618,35,31,6.5,49.1,34.1,224
98,90,30,5.62382547,0.088913579,40,60,22.15048402,32.67478581,26.34543563,295
99,120,30,5.703109463,0.088913579,40,60,23.27177167,38.27777238,24.54748456,299
100,170,60,1.198551229,0.203527671,37,14,9.117254427,42.74399541,27.97151014,326
